date	video_id	title	duration_seconds	insult_seconds	insult_hms	insult_share	source_file	source_url
2026-04-18	AerkNzz8_sE	Destiny’s BIGGEST Mistake: The Pxie Lawsuit EXPOSED!	5183	50	0:00:50	1.0%	transcripts/ryle-kittenhouse/processed/20260418-AerkNzz8_sE.txt	https://youtu.be/AerkNzz8_sE?t=0
2025-11-02	IOJNnWleWQ8	(Destiny Orbiter) DariusIRL ARRESTED in Oklahoma on NEW Charges	9318	49	0:00:49	0.5%	transcripts/ryle-kittenhouse/processed/20251102-IOJNnWleWQ8.txt	https://youtu.be/IOJNnWleWQ8?t=0
2025-09-22	5UiZ34d5aEM	Connerpoints BEGS Destiny not to QUIT POLITICS (Otherwise, who else will save Democracy?)	2795	48	0:00:48	1.7%	transcripts/ryle-kittenhouse/processed/20250922-5UiZ34d5aEM.txt	https://youtu.be/5UiZ34d5aEM?t=0
2026-05-30	cMdJT4Pe1qs	Hutch EXPOSES Himself Trying to Cover for Destiny	2644	47	0:00:47	1.8%	transcripts/ryle-kittenhouse/processed/20260530-cMdJT4Pe1qs.txt	https://youtu.be/cMdJT4Pe1qs?t=0
2026-05-26	oJDDbwbd6QE	Destiny CAUGHT Lying About Lauren Southern	2704	47	0:00:47	1.8%	transcripts/ryle-kittenhouse/processed/20260526-oJDDbwbd6QE.txt	https://youtu.be/oJDDbwbd6QE?t=0
2025-10-05	fNkWDA6odzM	Destiny UNHINGED CRASHOUT as PXIE KNEELS on Him (Hasan Too!)	3598	46	0:00:46	1.3%	transcripts/ryle-kittenhouse/processed/20251005-fNkWDA6odzM.txt	https://youtu.be/fNkWDA6odzM?t=0
2025-09-26	HfsxtrEEvOg	(Destiny Orbiter) DarusIRL's Roommates ARRESTED Last Night!! ft. ChickenAndy, AdrianahLee	8257	46	0:00:46	0.6%	transcripts/ryle-kittenhouse/processed/20250926-HfsxtrEEvOg.txt	https://youtu.be/HfsxtrEEvOg?t=0
2026-03-29	1KwK2Ko2h4s	STARDUST Caught LYING for Destiny! (Revenge of the Cow)	5914	45	0:00:45	0.8%	transcripts/ryle-kittenhouse/processed/20260329-1KwK2Ko2h4s.txt	https://youtu.be/1KwK2Ko2h4s?t=0
2025-09-04	OoXGVKY4VCA	Destiny DESTROYED by @TaylorLorenz in his Return to Politics	16192	45	0:00:45	0.3%	transcripts/ryle-kittenhouse/processed/20250904-OoXGVKY4VCA.txt	https://youtu.be/OoXGVKY4VCA?t=0
2025-04-08	RSNyXFSddN8	INSANE Lavlune HOTDROPS @destiny  debate to accuse someone of MURD*R (ExtremeDad) feat. Aikorulz	5385	45	0:00:45	0.8%	transcripts/ryle-kittenhouse/processed/20250408-RSNyXFSddN8.txt	https://youtu.be/RSNyXFSddN8?t=0
2026-03-28	mRrtMaHXTow	Destiny’s GOING BROKE?! Pushing 40 and BITTER	3744	44	0:00:44	1.2%	transcripts/ryle-kittenhouse/processed/20260328-mRrtMaHXTow.txt	https://youtu.be/mRrtMaHXTow?t=0
2026-03-13	TQnBgcnjAeM	Destiny CAUGHT In An EMBARRASSING Meltdown!	2831	42	0:00:42	1.5%	transcripts/ryle-kittenhouse/processed/20260313-TQnBgcnjAeM.txt	https://youtu.be/TQnBgcnjAeM?t=0
2025-09-15	gD6WS35UxEQ	Did DESTINY Advocate for RETALIATION??🚨Disgusting Washed-Up Streamer Screams into the Void	3998	42	0:00:42	1.0%	transcripts/ryle-kittenhouse/processed/20250915-gD6WS35UxEQ.txt	https://youtu.be/gD6WS35UxEQ?t=0
